HostSystem,ObservedSystem,SignalStrength
JUENAE AC-B D1-10264,JUENAE AJ-C C2-1768,3
JUENAE AC-B D1-10264,JUENAE PS-L A7-41,4
JUENAE AC-B D1-10264,JUENAE ZI-C C2-3115,0
JUENAE AC-B D1-10264,JUENAE VC-E C1-2212,2
JUENAE AC-B D1-10264,JUENAE ZI-C C2-1883,1
JUENAE AC-B D1-10264,JUENAE VC-E C1-2355,4
JUENAE AC-B D1-10264,JUENAE BC-B D1-2830,0
JUENAE AC-B D1-10264,STUEMEAE GG-Y C8204,4
JUENAE AC-B D1-10264,STUEMEAE GG-Y C3247,4
JUENAE AC-B D1-10264,STUEMEAE FG-Y C7033,3
JUENAE AC-B D1-10264,Sagittarius A*,0
JUENAE PS-L A7-41,JUENAE AJ-C C2-1768,4
JUENAE PS-L A7-41,JUENAE AC-B D1-10264,3
JUENAE PS-L A7-41,JUENAE ZI-C C2-3115,
JUENAE PS-L A7-41,JUENAE VC-E C1-2212,1
JUENAE PS-L A7-41,JUENAE ZI-C C2-1883,2
JUENAE PS-L A7-41,JUENAE VC-E C1-2355,
JUENAE PS-L A7-41,JUENAE BC-B D1-2830,4
JUENAE PS-L A7-41,STUEMEAE GG-Y C8204,0
JUENAE PS-L A7-41,STUEMEAE GG-Y C3247,
JUENAE PS-L A7-41,STUEMEAE FG-Y C7033,0
JUENAE PS-L A7-41,Sagittarius A*,4
JUENAE AJ-C C2-1768,JUENAE AC-B D1-10264,4
JUENAE AJ-C C2-1768,JUENAE PS-L A7-41,4
JUENAE AJ-C C2-1768,JUENAE ZI-C C2-3115,1
JUENAE AJ-C C2-1768,JUENAE VC-E C1-2212,3
JUENAE AJ-C C2-1768,JUENAE ZI-C C2-1883,4
JUENAE AJ-C C2-1768,JUENAE VC-E C1-2355,3
JUENAE AJ-C C2-1768,JUENAE BC-B D1-2830,0
JUENAE AJ-C C2-1768,STUEMEAE GG-Y C8204,3
JUENAE AJ-C C2-1768,STUEMEAE GG-Y C3247,3
JUENAE AJ-C C2-1768,STUEMEAE FG-Y C7033,3
JUENAE AJ-C C2-1768,Sagittarius A*,0
